record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_9MGbBgvqU3qYjAdNA,3079003,new_entry,,,"",In Pakistan U.N. Secretary-General Antonio Guterres warned Tuesday that the world is facing “a dangerous epidemic of misinformation” about COVID-19 and announced a U.N. campaign to flood the internet with facts and science to counter what he called “a poison” that is putting lives at risk on April 15.,2020-04-15,2020-04-15,,,Pakistan,PAK,PK,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Pakistan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1F9h8XCWubauXYs,https://reliefweb.int/report/pakistan/pakistan-covid-19-situation-update-15-april-2020,CoronaNet (original),,2020-04-30,2020-04-30T15:41:30Z
R_2CCwBI9bq2OpYYHNA,4825760,new_entry,,,"","In Pakistan United Nation Development Programme (UNDP) has launched an awareness drive to eradicate fake news and misconception about COVID-19. According to an official, Ministry of Human Rights (MoHR) and UNDP would work together to improve the livelihood of people. He said that it is very important to fight with fake news which leads to anxiety and depression among people on April 17.",2020-04-17,2020-04-17,,,Pakistan,PAK,PK,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Pakistan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qwS917a7v1iGOjv,https://reliefweb.int/report/pakistan/pakistan-covid-19-situation-update-17-april-2020,CoronaNet (original),,2020-05-01,2020-05-01T22:48:00Z
R_bCnubOm5LqJR0SREq,989078Eq,new_entry,,,"","In Pakistan Shafqat Mahmood that at the National Security Council meeting with PM Imran Khan, it was decided that all schools and universities would be closed until 5 April.",2020-03-13,2020-03-13,2020-04-05,The policy has a clear end date,Pakistan,PAK,PK,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Pakistan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1isxtUAeh4Oo7ZZ,https://www.geo.tv/latest/277163-pakistan-set-to-seal-border-with-afghanistan-iran-to-prevent-coronavirus-spread,CoronaNet (original),,2020-04-01,2020-04-01T19:00:20Z
R_bCnubOm5LqJR0SREr,989078Er,new_entry,,,"","In Pakistan Shafqat Mahmood that at the National Security Council meeting with PM Imran Khan, it was decided that all schools and universities would be closed until 5 April.",2020-03-13,2020-03-13,2020-04-05,The policy has a clear end date,Pakistan,PAK,PK,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Pakistan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1isxtUAeh4Oo7ZZ,https://www.geo.tv/latest/277163-pakistan-set-to-seal-border-with-afghanistan-iran-to-prevent-coronavirus-spread,CoronaNet (original),,2020-04-01,2020-04-01T19:00:20Z
R_bCnubOm5LqJR0SRGb,989078Gb,new_entry,,,"","In Pakistan Shafqat Mahmood that at the National Security Council meeting with PM Imran Khan, it was decided that all schools and universities would be closed until 5 April.",2020-03-13,2020-03-13,2020-04-05,The policy has a clear end date,Pakistan,PAK,PK,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Pakistan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1isxtUAeh4Oo7ZZ,https://www.geo.tv/latest/277163-pakistan-set-to-seal-border-with-afghanistan-iran-to-prevent-coronavirus-spread,CoronaNet (original),,2020-04-01,2020-04-01T19:00:20Z
R_bCnubOm5LqJR0SRCf,989078Cf,new_entry,,,"","In Pakistan Shafqat Mahmood that at the National Security Council meeting with PM Imran Khan, it was decided that all schools and universities would be closed until 5 April.",2020-03-13,2020-03-13,2020-04-05,The policy has a clear end date,Pakistan,PAK,PK,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Pakistan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1isxtUAeh4Oo7ZZ,https://www.geo.tv/latest/277163-pakistan-set-to-seal-border-with-afghanistan-iran-to-prevent-coronavirus-spread,CoronaNet (original),,2020-04-01,2020-04-01T19:00:20Z
R_1DAtL5n1hpdePbkEq,4430385Eq,new_entry,,,"","In Pakistan Chief Minister of Sindh, Syed Murad Ali Shah, announced the closure of all educational institutes in Sindh until 30 March, which was later extended until 30 May.",2020-03-13,2020-03-13,2020-05-30,The policy has a clear end date,Pakistan,PAK,PK,Provincial,1,Sindh,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Pakistan,,,Sindh,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_W03dqFCzQLRs9pL,https://tribune.com.pk/story/2167367/1-coronavirus-threat-educational-institutions-sindh-remain-shut-till-march-13/ ; https://www.thenews.com.pk/latest/628126-govt-extends-educational-institutions-holidays-till-may-30-amid-coronavirus-fears,CoronaNet (original),,2020-04-02,2020-04-02T10:50:52Z
R_1DAtL5n1hpdePbkEr,4430385Er,new_entry,,,"","In Pakistan Chief Minister of Sindh, Syed Murad Ali Shah, announced the closure of all educational institutes in Sindh until 30 March, which was later extended until 30 May.",2020-03-13,2020-03-13,2020-05-30,The policy has a clear end date,Pakistan,PAK,PK,Provincial,1,Sindh,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Pakistan,,,Sindh,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_W03dqFCzQLRs9pL,https://tribune.com.pk/story/2167367/1-coronavirus-threat-educational-institutions-sindh-remain-shut-till-march-13/ ; https://www.thenews.com.pk/latest/628126-govt-extends-educational-institutions-holidays-till-may-30-amid-coronavirus-fears,CoronaNet (original),,2020-04-02,2020-04-02T10:50:52Z
R_1DAtL5n1hpdePbkGb,4430385Gb,new_entry,,,"","In Pakistan Chief Minister of Sindh, Syed Murad Ali Shah, announced the closure of all educational institutes in Sindh until 30 March, which was later extended until 30 May.",2020-03-13,2020-03-13,2020-05-30,The policy has a clear end date,Pakistan,PAK,PK,Provincial,1,Sindh,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Pakistan,,,Sindh,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_W03dqFCzQLRs9pL,https://tribune.com.pk/story/2167367/1-coronavirus-threat-educational-institutions-sindh-remain-shut-till-march-13/ ; https://www.thenews.com.pk/latest/628126-govt-extends-educational-institutions-holidays-till-may-30-amid-coronavirus-fears,CoronaNet (original),,2020-04-02,2020-04-02T10:50:52Z
R_1DAtL5n1hpdePbkCf,4430385Cf,new_entry,,,"","In Pakistan Chief Minister of Sindh, Syed Murad Ali Shah, announced the closure of all educational institutes in Sindh until 30 March, which was later extended until 30 May.",2020-03-13,2020-03-13,2020-05-30,The policy has a clear end date,Pakistan,PAK,PK,Provincial,1,Sindh,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Pakistan,,,Sindh,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_W03dqFCzQLRs9pL,https://tribune.com.pk/story/2167367/1-coronavirus-threat-educational-institutions-sindh-remain-shut-till-march-13/ ; https://www.thenews.com.pk/latest/628126-govt-extends-educational-institutions-holidays-till-may-30-amid-coronavirus-fears,CoronaNet (original),,2020-04-02,2020-04-02T10:50:52Z
