record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_1LUMHChPSjPtwZ5Be,141874,new_entry,,,"","On April 7, New Zealand government announced the country will enter into transit arrangements with a range of countries to make it easier for each other’s citizens to get home.",2020-04-07,2020-04-07,,The policy’s end date is unknown or unreported,"Argentina,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),,"",,,,,,"","","","","","","","","","","",,,,"",No,"Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay","One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1K88XO2d5rw6LMP,https://www.immigration.govt.nz/about-us/covid-19/coronavirus-update-inz-response,CoronaNet (original),,2022-07-11,2022-07-11T23:59:59Z
R_12MGBKclhJeWLDfNA,4336727,new_entry,,,"","From Healthcare Facilities Licensing & Accreditation Department to All Private Healthcare Facilities in Qatar: 

It is strictly prohibited to advertise products which have not been scientifically proven to cure COVID-19 on any type of social media. Anyone who violates this will be liable for legal action.",2020-04-13,2020-04-13,,,Qatar,QAT,QA,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Qatar,,,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",73.5393766207409,70.373122177852,67.2193085439848,83,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_20SZ94cXzkmDSMd,https://www.moph.gov.qa/english/mediacenter/Announcements/Pages/AnnouncementsDetails.aspx?ItemId=58,CoronaNet (original),,2020-06-15,2020-06-15T15:47:13Z
R_a5KArMoLwrVBiYpNA,5348348,new_entry,,,"","On April 20, Dr. Karim Mohamed Darwish, Head of Arabic Language Technologists at the Qatar Computing Research Institute at Hamad Bin Khalifa University, revealed the design of a technical platform that monitors fake news and rumors being promoted via social media or in the visual media about the emerging Coronavirus (Covid-19).

Dr. Darwish said that the Qatar Computing Research Institute is cooperating with the Ministry of Public Health in Qatar to support its efforts to combat the epidemic by providing periodic reports on the most prominent rumors circulating about the virus (anti-disinformation measure).

Darwish explained that the technical platform includes two applications, namely, ""Alert"" and ""Falcon"", noting that one of them specializes in monitoring rumors that are being promoted through social media, and the other is specialized in monitoring fake news in the visual media.",2020-04-20,2020-04-20,,,Qatar,QAT,QA,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Qatar,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",71.793070128968,68.8350912165281,65.7398500173112,63,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2vdkM0OiKWvjdNp,https://portal.www.gov.qa/wps/portal/media-center/news/news-details/alertandfalconplatformsformonitoringrumorsfakenewsandsupportingdecisionmakers,CoronaNet (original),,2020-08-08,2020-08-08T17:49:36Z
R_31pGxPoMOM8SgCVEs,3504967Es,new_entry,,,"","Qatar's government suspended ""public and private schools and universities for all students in the State of Qatar"" starting March 10, 2020  until further notice.",2020-03-09,2020-03-10,,,Qatar,QAT,QA,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Qatar,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,38.5192659177715,34.9078984956665,30.0838829000659,70,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1JIsFZJwKumvD0N,https://www.gco.gov.qa/en/2020/03/09/statement-on-the-suspension-of-public-and-private-schools-and-universities-for-all-students-until-further-notice-as-a-precautionary-measure-to-contain-the-spread-of-coronavirus/,CoronaNet (original),,2020-04-03,2020-04-03T19:15:28Z
R_31pGxPoMOM8SgCVEt,3504967Et,new_entry,,,"","Qatar's government suspended ""public and private schools and universities for all students in the State of Qatar"" starting March 10, 2020  until further notice.",2020-03-09,2020-03-10,,,Qatar,QAT,QA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Qatar,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,38.5192659177715,34.9078984956665,30.0838829000659,70,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1JIsFZJwKumvD0N,https://www.gco.gov.qa/en/2020/03/09/statement-on-the-suspension-of-public-and-private-schools-and-universities-for-all-students-until-further-notice-as-a-precautionary-measure-to-contain-the-spread-of-coronavirus/,CoronaNet (original),,2020-04-03,2020-04-03T19:15:28Z
R_31pGxPoMOM8SgCVGe,3504967Ge,new_entry,,,"","Qatar's government suspended ""public and private schools and universities for all students in the State of Qatar"" starting March 10, 2020  until further notice.",2020-03-09,2020-03-10,,,Qatar,QAT,QA,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Qatar,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,38.5192659177715,34.9078984956665,30.0838829000659,70,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1JIsFZJwKumvD0N,https://www.gco.gov.qa/en/2020/03/09/statement-on-the-suspension-of-public-and-private-schools-and-universities-for-all-students-until-further-notice-as-a-precautionary-measure-to-contain-the-spread-of-coronavirus/,CoronaNet (original),,2020-04-03,2020-04-03T19:15:28Z
R_31pGxPoMOM8SgCVCf,3504967Cf,new_entry,,,"","Qatar's government suspended ""public and private schools and universities for all students in the State of Qatar"" starting March 10, 2020  until further notice.",2020-03-09,2020-03-10,,,Qatar,QAT,QA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Qatar,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,38.5192659177715,34.9078984956665,30.0838829000659,70,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1JIsFZJwKumvD0N,https://www.gco.gov.qa/en/2020/03/09/statement-on-the-suspension-of-public-and-private-schools-and-universities-for-all-students-until-further-notice-as-a-precautionary-measure-to-contain-the-spread-of-coronavirus/,CoronaNet (original),,2020-04-03,2020-04-03T19:15:28Z
R_NVc6PylG5PNUkoxEt,4755301Et,new_entry,,,"","Starting March 22, all Qatar public school students started studying remotely. Students from grades one through eleven will be subject to the continuous evaluation system. As for the twelfth grade students, they will undergo high school exams on time and at the exams headquarters, which will be announced later. As for students in private schools and universities, they start studying remotely according to the academic calendar and the evaluation systems approved for them.

",2020-03-15,2020-03-22,,,Qatar,QAT,QA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Special provisions for all students in a school (e.g. students in primary school do not have to social distance),Yes,Qatar,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory with Legal Penalties (Jail Time),National Government,66.5856374426876,63.6487212796811,60.4351685894415,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ODMCwiG720QC3Xb,https://al-sharq.com/article/15/03/2020/%D8%B5%D8%A7%D8%AD%D8%A8-%D8%A7%D9%84%D8%B3%D9%85%D9%88-%D9%8A%D9%88%D8%AC%D9%87-%D8%A8%D8%A7%D9%84%D8%B4%D8%B1%D9%88%D8%B9-%D9%81%D9%8A-%D8%AD%D8%B2%D9%85%D8%A9-%D9%85%D9%86-%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D8%B1%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%A5%D8%AC%D8%B1%D8%A7%D8%A1%D8%A7%D8%AA-%D9%84%D9%85%D9%83%D8%A7%D9%81%D8%AD%D8%A9-%D8%A7%D9%86%D8%AA%D8%B4%D8%A7%D8%B1-%D9%81%D9%8A%D8%B1%D9%88%D8%B3-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7?__cf_chl_jschl_tk__=4fdbd221382e863096b997bf16a0704e71ebb688-1593282362-0-ARexsEtQ-45CMZW0vA7C-IqCOAbxd-c5TnnCGhA4IWy4AHcql3loJBS7DO6cWckUr_e06GXDVyTAgwg_sd2IdMmYIrjBBKqhs6Kd5xiDLzQJ6_9ekBfgnrcFyLESViuLkp2DmNsdyZNhEcvApOVWBcYpCw9dsDCvLozk5Tjwu_WPUpr1uMomlLqp8Iw9sf1L9dG7uQPObDdOtwcj-aL_XKbVnZuvqe40XHwLkPkbVdeOapV174sm9fDFi3cmQxntIGpK0p_q_lWvtPH_SsQI-lpdvxu4oodYEosEUzwsPS0zGAjq2WzwCqEi5RcsrctDbdF70PBTKvSbXeXfCuVuNknoHP-uY28yedtvq_x5jxsndD78UH2sHbJtzfMa9wCZ8sO_dpvuIWIHtGfaRTmIdSEKApIU6Z9n6JiGAuZR-oc_o8byqxBqvP6tmfNVEnop9AOm9v-wYqn18_yhYbDQryJ8i7goEmZ4WIj2UexoByJKgpZlY3GGD0GziJ2Y75EZSALfsasoSuyQEjIWcw3yZc6E6eQm00QDDikWG_ls30PmLUT5iAND6bhXCBg00UnHCra9iX2tz-rTlLpbWAEg6VNLl-pPHMMJq-eOWd9dR1_Wbg5KfaolTy2_LAzU_Pf5Sv0JD00UEQPRNvkkKszubmNZDJcBUts2VroRX4pwSzF_x8ghCN41S46MV6dzDA4tUTf79sEQqTL-sBp7Zzk02CckUDhP7EsjTzd2ZwhnNJC2sdtinB0AvUdJzyDXTd13kpjY1FBuU99cYwRDqu5cdEh7Q2VNZ25iExG3XfmpIIto5BsHwq75W1FUegoGXwWTTppaZ77hqlnKXBM7TW8QWxZL_fASGOzHZONocmj1vlCI,CoronaNet (original),,2020-06-27,2020-06-27T18:31:57Z
R_NVc6PylG5PNUkoxGe,4755301Ge,new_entry,,,"","Starting March 22, all Qatar public school students started studying remotely. Students from grades one through eleven will be subject to the continuous evaluation system. As for the twelfth grade students, they will undergo high school exams on time and at the exams headquarters, which will be announced later. As for students in private schools and universities, they start studying remotely according to the academic calendar and the evaluation systems approved for them.

",2020-03-15,2020-03-22,,,Qatar,QAT,QA,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Special provisions for all students in a school (e.g. students in primary school do not have to social distance),Yes,Qatar,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory with Legal Penalties (Jail Time),National Government,66.5856374426876,63.6487212796811,60.4351685894415,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ODMCwiG720QC3Xb,https://al-sharq.com/article/15/03/2020/%D8%B5%D8%A7%D8%AD%D8%A8-%D8%A7%D9%84%D8%B3%D9%85%D9%88-%D9%8A%D9%88%D8%AC%D9%87-%D8%A8%D8%A7%D9%84%D8%B4%D8%B1%D9%88%D8%B9-%D9%81%D9%8A-%D8%AD%D8%B2%D9%85%D8%A9-%D9%85%D9%86-%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D8%B1%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%A5%D8%AC%D8%B1%D8%A7%D8%A1%D8%A7%D8%AA-%D9%84%D9%85%D9%83%D8%A7%D9%81%D8%AD%D8%A9-%D8%A7%D9%86%D8%AA%D8%B4%D8%A7%D8%B1-%D9%81%D9%8A%D8%B1%D9%88%D8%B3-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7?__cf_chl_jschl_tk__=4fdbd221382e863096b997bf16a0704e71ebb688-1593282362-0-ARexsEtQ-45CMZW0vA7C-IqCOAbxd-c5TnnCGhA4IWy4AHcql3loJBS7DO6cWckUr_e06GXDVyTAgwg_sd2IdMmYIrjBBKqhs6Kd5xiDLzQJ6_9ekBfgnrcFyLESViuLkp2DmNsdyZNhEcvApOVWBcYpCw9dsDCvLozk5Tjwu_WPUpr1uMomlLqp8Iw9sf1L9dG7uQPObDdOtwcj-aL_XKbVnZuvqe40XHwLkPkbVdeOapV174sm9fDFi3cmQxntIGpK0p_q_lWvtPH_SsQI-lpdvxu4oodYEosEUzwsPS0zGAjq2WzwCqEi5RcsrctDbdF70PBTKvSbXeXfCuVuNknoHP-uY28yedtvq_x5jxsndD78UH2sHbJtzfMa9wCZ8sO_dpvuIWIHtGfaRTmIdSEKApIU6Z9n6JiGAuZR-oc_o8byqxBqvP6tmfNVEnop9AOm9v-wYqn18_yhYbDQryJ8i7goEmZ4WIj2UexoByJKgpZlY3GGD0GziJ2Y75EZSALfsasoSuyQEjIWcw3yZc6E6eQm00QDDikWG_ls30PmLUT5iAND6bhXCBg00UnHCra9iX2tz-rTlLpbWAEg6VNLl-pPHMMJq-eOWd9dR1_Wbg5KfaolTy2_LAzU_Pf5Sv0JD00UEQPRNvkkKszubmNZDJcBUts2VroRX4pwSzF_x8ghCN41S46MV6dzDA4tUTf79sEQqTL-sBp7Zzk02CckUDhP7EsjTzd2ZwhnNJC2sdtinB0AvUdJzyDXTd13kpjY1FBuU99cYwRDqu5cdEh7Q2VNZ25iExG3XfmpIIto5BsHwq75W1FUegoGXwWTTppaZ77hqlnKXBM7TW8QWxZL_fASGOzHZONocmj1vlCI,CoronaNet (original),,2020-06-27,2020-06-27T18:31:57Z
R_NVc6PylG5PNUkoxCf,4755301Cf,new_entry,,,"","Starting March 22, all Qatar public school students started studying remotely. Students from grades one through eleven will be subject to the continuous evaluation system. As for the twelfth grade students, they will undergo high school exams on time and at the exams headquarters, which will be announced later. As for students in private schools and universities, they start studying remotely according to the academic calendar and the evaluation systems approved for them.

",2020-03-15,2020-03-22,,,Qatar,QAT,QA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,Special provisions for all students in a school (e.g. students in primary school do not have to social distance),Yes,Qatar,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory with Legal Penalties (Jail Time),National Government,66.5856374426876,63.6487212796811,60.4351685894415,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ODMCwiG720QC3Xb,https://al-sharq.com/article/15/03/2020/%D8%B5%D8%A7%D8%AD%D8%A8-%D8%A7%D9%84%D8%B3%D9%85%D9%88-%D9%8A%D9%88%D8%AC%D9%87-%D8%A8%D8%A7%D9%84%D8%B4%D8%B1%D9%88%D8%B9-%D9%81%D9%8A-%D8%AD%D8%B2%D9%85%D8%A9-%D9%85%D9%86-%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D8%B1%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%A5%D8%AC%D8%B1%D8%A7%D8%A1%D8%A7%D8%AA-%D9%84%D9%85%D9%83%D8%A7%D9%81%D8%AD%D8%A9-%D8%A7%D9%86%D8%AA%D8%B4%D8%A7%D8%B1-%D9%81%D9%8A%D8%B1%D9%88%D8%B3-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7?__cf_chl_jschl_tk__=4fdbd221382e863096b997bf16a0704e71ebb688-1593282362-0-ARexsEtQ-45CMZW0vA7C-IqCOAbxd-c5TnnCGhA4IWy4AHcql3loJBS7DO6cWckUr_e06GXDVyTAgwg_sd2IdMmYIrjBBKqhs6Kd5xiDLzQJ6_9ekBfgnrcFyLESViuLkp2DmNsdyZNhEcvApOVWBcYpCw9dsDCvLozk5Tjwu_WPUpr1uMomlLqp8Iw9sf1L9dG7uQPObDdOtwcj-aL_XKbVnZuvqe40XHwLkPkbVdeOapV174sm9fDFi3cmQxntIGpK0p_q_lWvtPH_SsQI-lpdvxu4oodYEosEUzwsPS0zGAjq2WzwCqEi5RcsrctDbdF70PBTKvSbXeXfCuVuNknoHP-uY28yedtvq_x5jxsndD78UH2sHbJtzfMa9wCZ8sO_dpvuIWIHtGfaRTmIdSEKApIU6Z9n6JiGAuZR-oc_o8byqxBqvP6tmfNVEnop9AOm9v-wYqn18_yhYbDQryJ8i7goEmZ4WIj2UexoByJKgpZlY3GGD0GziJ2Y75EZSALfsasoSuyQEjIWcw3yZc6E6eQm00QDDikWG_ls30PmLUT5iAND6bhXCBg00UnHCra9iX2tz-rTlLpbWAEg6VNLl-pPHMMJq-eOWd9dR1_Wbg5KfaolTy2_LAzU_Pf5Sv0JD00UEQPRNvkkKszubmNZDJcBUts2VroRX4pwSzF_x8ghCN41S46MV6dzDA4tUTf79sEQqTL-sBp7Zzk02CckUDhP7EsjTzd2ZwhnNJC2sdtinB0AvUdJzyDXTd13kpjY1FBuU99cYwRDqu5cdEh7Q2VNZ25iExG3XfmpIIto5BsHwq75W1FUegoGXwWTTppaZ77hqlnKXBM7TW8QWxZL_fASGOzHZONocmj1vlCI,CoronaNet (original),,2020-06-27,2020-06-27T18:31:57Z
