record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_3hhdpskfP18bjKENA,5709203,new_entry,,,"",The public of Thailand is advised on Feb 3rd by the Ministry of Health not to believe all of the circulating rumors from different sources. Please “Check before you Share.” Do not share the news situation from unreliable sources because incorrect information may cause widespread panic. Individuals spreading fake information can be found guilty under Thailand’s Computer Crime Act of 2017,2020-02-03,2020-02-03,2022-10-25,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Thailand,THA,TH,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Thailand,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health",23.8468986743103,18.6430483887138,14.142113374542,127,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1XkbwYVhLutDBAd,https://ddc.moph.go.th/viralpneumonia/eng/file/news/news_no11_030263.pdf,2022-06-20,2022-06-20T23:59:59Z
R_2uvnbwJLRVakV3aEm,5843853Em,new_entry,,,"","On 17 Mar in Thailand, the closures of universities and schools nationwide will take effect from Wednesday and last for two weeks. ",2020-03-17,2020-03-18,2020-03-31,The policy has a clear end date,Thailand,THA,TH,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Thailand,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",52.1404756288334,49.2743358115415,46.5750179687526,62,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_11WLdD2sMLqgDsf,https://www.straitstimes.com/asia/se-asia/thai-new-year-holiday-songkran-postponed-schools-entertainment-venues-ordered-shut,2022-06-20,2022-06-20T23:59:59Z
R_2uvnbwJLRVakV3aFw,5843853Fw,new_entry,,,"","On 17 Mar in Thailand, the closures of universities and schools nationwide will take effect from Wednesday and last for two weeks. ",2020-03-17,2020-03-18,2020-03-31,The policy has a clear end date,Thailand,THA,TH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Thailand,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",52.1404756288334,49.2743358115415,46.5750179687526,62,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_11WLdD2sMLqgDsf,https://www.straitstimes.com/asia/se-asia/thai-new-year-holiday-songkran-postponed-schools-entertainment-venues-ordered-shut,2022-06-20,2022-06-20T23:59:59Z
R_2uvnbwJLRVakV3aCe,5843853Ce,new_entry,,,"","On 17 Mar in Thailand, the closures of universities and schools nationwide will take effect from Wednesday and last for two weeks. ",2020-03-17,2020-03-18,2020-03-31,The policy has a clear end date,Thailand,THA,TH,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Thailand,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",52.1404756288334,49.2743358115415,46.5750179687526,62,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_11WLdD2sMLqgDsf,https://www.straitstimes.com/asia/se-asia/thai-new-year-holiday-songkran-postponed-schools-entertainment-venues-ordered-shut,2022-06-20,2022-06-20T23:59:59Z
R_O8OeoYjk15a7iO5Em,5843853Em,update,Change of Policy,Strengthening,timing of policy strengthening,"On 17 Mar in Thailand, the closures of universities and schools nationwide will take effect from Wednesday and last for two weeks. 
 UPDATE: On April 7, Thailand's cabinet approved an Education Ministry proposal to extend the closure of schools until July 1.",2020-04-07,2020-04-07,2020-07-01,The policy has a clear end date,Thailand,THA,TH,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Thailand,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",64.4301642309315,61.9635578799709,59.5037098932465,34,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_11WLdD2sMLqgDsf ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_pFB7QXybz4kmwHT,NA ; https://www.bangkokpost.com/thailand/general/1895015/schools-wont-reopen-until-july-1 ; https://www.chiangraitimes.com/thailand-national-news/schools-in-thailand-to-stay-closed-until-july-online-classes-an-option/,2020-09-03,2020-09-03T13:05:52Z
R_O8OeoYjk15a7iO5Fw,5843853Fw,update,Change of Policy,Strengthening,timing of policy strengthening,"On 17 Mar in Thailand, the closures of universities and schools nationwide will take effect from Wednesday and last for two weeks. 
 UPDATE: On April 7, Thailand's cabinet approved an Education Ministry proposal to extend the closure of schools until July 1.",2020-04-07,2020-04-07,2020-07-01,The policy has a clear end date,Thailand,THA,TH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Thailand,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",64.4301642309315,61.9635578799709,59.5037098932465,34,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_11WLdD2sMLqgDsf ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_pFB7QXybz4kmwHT,NA ; https://www.bangkokpost.com/thailand/general/1895015/schools-wont-reopen-until-july-1 ; https://www.chiangraitimes.com/thailand-national-news/schools-in-thailand-to-stay-closed-until-july-online-classes-an-option/,2020-09-03,2020-09-03T13:05:52Z
R_O8OeoYjk15a7iO5Ce,5843853Ce,update,Change of Policy,Strengthening,timing of policy strengthening,"On 17 Mar in Thailand, the closures of universities and schools nationwide will take effect from Wednesday and last for two weeks. 
 UPDATE: On April 7, Thailand's cabinet approved an Education Ministry proposal to extend the closure of schools until July 1.",2020-04-07,2020-04-07,2020-07-01,The policy has a clear end date,Thailand,THA,TH,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Thailand,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",64.4301642309315,61.9635578799709,59.5037098932465,34,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_11WLdD2sMLqgDsf ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_pFB7QXybz4kmwHT,NA ; https://www.bangkokpost.com/thailand/general/1895015/schools-wont-reopen-until-july-1 ; https://www.chiangraitimes.com/thailand-national-news/schools-in-thailand-to-stay-closed-until-july-online-classes-an-option/,2020-09-03,2020-09-03T13:05:52Z
R_3q808sKnfMCXw1oNA,2592552,new_entry,,,"","The Governor of the Province of Phuket, with the decision of the Committee of Communicable Diseases in Phuket, on Friday March 27th, 2020 has kindly asked and sought the collaboration of tourists and residents to remain in their residence from 20.00 – 03.00 Hrs., with the exception of urgent errands. Effective until further notice",2020-03-27,2020-03-28,,The policy’s end date is unknown or unreported,Thailand,THA,TH,Provincial,1,Phuket,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Thailand,One or more provinces within one or more countries,,Phuket,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Exceptions (Please list exceptions in the text entry),Provincial/State Government,60.7361075014653,58.009875361754,55.2023043797567,38,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1nMBSWxk4Rjhrcp,https://www.tatnews.org/2020/03/tat-update-announcement-of-phuket-province-seeking-collaboration-of-local-residents-and-tourists-to-remain-in-their-residence/,2022-06-20,2022-06-20T23:59:59Z
R_1NgNfScUBNm7t1RNA,1685574,new_entry,,,"","On Wednesday (Apr 1), the Bangkok Metropolitan Administration had mandated a closure of Bangkok’s parks and imposed a nighttime curfew on all shops, including convenience stores and supermarkets, from midnight to 5 am, effective until the end of April.
",2020-04-02,2020-04-03,2020-04-30,The policy has a clear end date,Thailand,THA,TH,Municipal,1,Bangkok,,Bangkok,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",,Thailand,,,Bangkok,Bangkok,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,63.1285903717509,60.936468658947,58.5240531805079,33,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3WSlBzK8Kqy1Eel,https://www.straitstimes.com/asia/se-asia/coronavirus-thailand-to-announce-nationwide-curfew-starting-friday,2021-06-05,2021-06-05T06:39:28Z
R_2ahOiLZsNkgndYkNA,3440320,update,Change of Policy,Strengthening,timing of policy strengthening,"Thailand is extending the state of emergency for a month until May 31, Prime Minister Prayut Chan-o-cha announced on Tuesday (April 28). The night time curfew between 10pm and 4am will stay in place UPDATE: The nationwide curfew due to last until April 30th has been extended until May 31st",2020-04-28,2020-04-03,2020-05-31,The policy has a clear end date,Thailand,THA,TH,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Thailand,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Military,Provincial/State Government,Municipal Government,Police",63.1285903717509,60.936468658947,58.5240531805079,33,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2fIClGhSxPHv4Qw ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3rNFodLvR23OPGH,NA ; https://www.straitstimes.com/asia/se-asia/coronavirus-thailand-extends-state-of-emergency-until-may-31,2020-05-12,2020-05-12T12:00:01Z
