record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,2021-04-11,2021-04-11T10:32:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bCPiR9sMMSUE0gxNA,484481,new_entry,,,"","On April 13 government announced that the media in Armenia will be monitored, and in case of a hike in the number of fake news, the decision will be reversed.",2020-04-13,2020-04-13,,The policy’s end date is unknown or unreported,Armenia,ARM,AM,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Armenia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_eaDQKpLkqiBEZZs,https://www.evnreport.com/covid-19/covid-19-daily-briefing-april-13,2022-06-28,2022-06-28T22:09:23Z,1039,14,211,685,8315,2.979,,,,,,61,28.6,2,-0.345599442720413,0.823284327983856,6,35,2944809,12364648565.4449,7.50000000164144,14.895554517277,23.2381073157969,2,0,0.163399564010489,1.39724850797043,191199
R_dnXyex1fGm3SkTvNA,6303353,new_entry,,,"","In Armenia Minister of Health Arsen Torosyan said that parallel to the increase in the number of infections, the number of conspiracy theorists is also growing. Torosyan said the situation is concerning as many people are becoming complacent to the risks of the disease. Torosyan wrote that, if this tendency continues, the Ministry will be obliged to pass on the information about people disseminating fake and unfounded information to law enforcement in an attempt to understand who is behind the conspiracy theories and what their motivation is for wanting to harm citizens of Armenia on May 18.",2020-05-18,2020-05-18,2020-05-19,The policy is a one-time measure (e.g. publication of guidelines),Armenia,ARM,AM,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Armenia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_exJigMEpAjilauy,https://www.evnreport.com/covid-19/covid-19-daily-briefing-may-18,2022-06-28,2022-06-28T22:13:10Z,4823,61,2019,1191,43041,15.421,,,,,,61,28.6,2,-0.345599442720413,0.823284327983856,6,35,2944809,12364648565.4449,7.50000000164144,14.895554517277,23.2381073157969,2,0,0.163399564010489,1.39724850797043,191199
R_026z2RdD3yVhQaZNA,6303353,update,Change of Policy,Strengthening,[enforcer]   of policy strengthening,"On June 13, Prime Minister’s Spokesperson Mane Gevorgyan informed on Facebook that the law-enforcement bodies are investigating and checking the credibility of the reports on leaked data of coronavirus infected citizens and the possible sources of leak. UPDATE: The law-enforcement bodies are investigating and checking the credibility of the reports on leaked data of coronavirus infected citizens and the possible sources of leak.",2020-06-13,2020-06-13,,The policy’s end date is unknown or unreported,Armenia,ARM,AM,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Armenia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3K33IwLGzdvc15Y ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1n1qbT6zpcDSZOa,https://www.evnreport.com/covid-19/covid-19-daily-briefing-may-18,2022-06-28,2022-06-28T22:17:26Z,16004,264,6081,2194,82324,29.497,,,,,,61,28.6,2,-0.345599442720413,0.823284327983856,6,35,2944809,12364648565.4449,7.50000000164144,14.895554517277,23.2381073157969,2,0,0.163399564010489,1.39724850797043,191199
R_2PvPi7i8iV6nlGvEl,4138043El,new_entry,,,"","On March 2, 2020, Schools and universities closed. Prime Minister Nikol Pashinyan has announced that all educational institutions, including schools, universities and kindergartens, will be shut down for 1 week",2020-03-02,2020-03-02,2020-03-16,The policy has a clear end date,Armenia,ARM,AM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Armenia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1hXdcmGHKh5s1LP,https://www.civilnet.am/news/2020/03/02/Coronavirus-Armenian-Government-Introduces-School-Closures-Establishes-Quarantine-Center-in-Tsaghkadzor/377468,2022-07-31,2022-07-31T16:59:12Z,1,0,0,19,138,0.049,,,,,,61,28.6,2,-0.345599442720413,0.823284327983856,6,35,2944809,12364648565.4449,7.50000000164144,14.895554517277,23.2381073157969,2,0,0.163399564010489,1.39724850797043,191199
R_2PvPi7i8iV6nlGvEm,4138043Em,new_entry,,,"","On March 2, 2020, Schools and universities closed. Prime Minister Nikol Pashinyan has announced that all educational institutions, including schools, universities and kindergartens, will be shut down for 1 week",2020-03-02,2020-03-02,2020-03-16,The policy has a clear end date,Armenia,ARM,AM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Armenia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1hXdcmGHKh5s1LP,https://www.civilnet.am/news/2020/03/02/Coronavirus-Armenian-Government-Introduces-School-Closures-Establishes-Quarantine-Center-in-Tsaghkadzor/377468,2022-07-31,2022-07-31T16:59:12Z,1,0,0,19,138,0.049,,,,,,61,28.6,2,-0.345599442720413,0.823284327983856,6,35,2944809,12364648565.4449,7.50000000164144,14.895554517277,23.2381073157969,2,0,0.163399564010489,1.39724850797043,191199
R_2PvPi7i8iV6nlGvFw,4138043Fw,new_entry,,,"","On March 2, 2020, Schools and universities closed. Prime Minister Nikol Pashinyan has announced that all educational institutions, including schools, universities and kindergartens, will be shut down for 1 week",2020-03-02,2020-03-02,2020-03-16,The policy has a clear end date,Armenia,ARM,AM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Armenia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1hXdcmGHKh5s1LP,https://www.civilnet.am/news/2020/03/02/Coronavirus-Armenian-Government-Introduces-School-Closures-Establishes-Quarantine-Center-in-Tsaghkadzor/377468,2022-07-31,2022-07-31T16:59:12Z,1,0,0,19,138,0.049,,,,,,61,28.6,2,-0.345599442720413,0.823284327983856,6,35,2944809,12364648565.4449,7.50000000164144,14.895554517277,23.2381073157969,2,0,0.163399564010489,1.39724850797043,191199
R_2PvPi7i8iV6nlGvCe,4138043Ce,new_entry,,,"","On March 2, 2020, Schools and universities closed. Prime Minister Nikol Pashinyan has announced that all educational institutions, including schools, universities and kindergartens, will be shut down for 1 week",2020-03-02,2020-03-02,2020-03-16,The policy has a clear end date,Armenia,ARM,AM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Armenia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1hXdcmGHKh5s1LP,https://www.civilnet.am/news/2020/03/02/Coronavirus-Armenian-Government-Introduces-School-Closures-Establishes-Quarantine-Center-in-Tsaghkadzor/377468,2022-07-31,2022-07-31T16:59:12Z,1,0,0,19,138,0.049,,,,,,61,28.6,2,-0.345599442720413,0.823284327983856,6,35,2944809,12364648565.4449,7.50000000164144,14.895554517277,23.2381073157969,2,0,0.163399564010489,1.39724850797043,191199
R_2cCrkCGhi8cUZBbEl,1967108El,new_entry,,,"","Armenia is enforcing a closure of schools and universities for 2  weeks from March 2, 2020.",2020-03-02,2020-03-02,2020-03-16,The policy has a clear end date,Armenia,ARM,AM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Armenia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_eEYSAHdZKzecSzf,https://www.civilnet.am/news/2020/03/02/Coronavirus-Armenian-Government-Introduces-School-Closures-Establishes-Quarantine-Center-in-Tsaghkadzor/377468,2022-10-09,2022-10-09T08:31:19Z,1,0,0,19,138,0.049,,,,,,61,28.6,2,-0.345599442720413,0.823284327983856,6,35,2944809,12364648565.4449,7.50000000164144,14.895554517277,23.2381073157969,2,0,0.163399564010489,1.39724850797043,191199
R_2cCrkCGhi8cUZBbEm,1967108Em,new_entry,,,"","Armenia is enforcing a closure of schools and universities for 2  weeks from March 2, 2020.",2020-03-02,2020-03-02,2020-03-16,The policy has a clear end date,Armenia,ARM,AM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Armenia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_eEYSAHdZKzecSzf,https://www.civilnet.am/news/2020/03/02/Coronavirus-Armenian-Government-Introduces-School-Closures-Establishes-Quarantine-Center-in-Tsaghkadzor/377468,2022-10-09,2022-10-09T08:31:19Z,1,0,0,19,138,0.049,,,,,,61,28.6,2,-0.345599442720413,0.823284327983856,6,35,2944809,12364648565.4449,7.50000000164144,14.895554517277,23.2381073157969,2,0,0.163399564010489,1.39724850797043,191199
