record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,2021-04-11,2021-04-11T10:32:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3fplK6Z6dxqkB8nNA,888424,new_entry,,,"","Belarus demonstrated on April 6, 2020 that it is enforcing anti-disinformation measures in compliance with the requirements of the On Mass Media Law by actively monitoring the Internet to find misinformation related to the corona virus.",2020-04-06,2020-04-06,2022-09-09,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Belarus,BLR,BY,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Belarus,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,"Mandatory (Unspecified/Implied),Mandatory (Other; please list other enforcement mechanisms in the text entry)",Other (Please specify in the text box),37.2003486726473,34.4089755634238,31.5059972399431,5,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2ta0R7XkhDxBtaA,http://mininform.gov.by/news/all/vyneseno-preduprezhdenie-za-rasprostranenie-lozhnoy-informatsii/,2021-02-25,2021-02-25T19:58:10Z,700,13,53,,40000,4.176,,,,,,153,49.7,0,-0.345599442720413,-0.149916306138039,3,44,9498264,62080768455.0003,2.53218350023035,16.0666196030303,24.851702091208,1,0,0.0297073326169395,1.39724850797043,1082905
R_27Hz5nJp2PouA0kCd,25770Cd,new_entry,,,"","On 28th January 2020, in connection with the situation with the 2019-nCoV coronavirus, Belarusian universities will extend the vacation for Chinese students who have gone home for two weeks. Vacations for Chinese students began in late January and were supposed to end in early February. Individual students will draw up individual schedules so that there are no gaps in learning. The policy ends on 23rd of March.",2020-01-28,2020-01-28,2020-03-23,The policy has a clear end date,Belarus,BLR,BY,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,"Full remote/distance learning (e.g. All teachers must tele-teach.),Other conditions not listed above (please provide detail in the text entry)",Yes,Belarus,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,19.5823164526395,15.8805186357362,11.5767430526717,115,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3nIxjPleApff2mV,http://minzdrav.gov.by/ru/sobytiya/minzdrav-rekomenduet-vozderzhatsya-ot-poezdok-v-knr/,2021-12-27,2021-12-27T07:28:58Z,0,0,0,,,,,,,,,153,49.7,0,-0.345599442720413,-0.149916306138039,3,44,9498264,62080768455.0003,2.53218350023035,16.0666196030303,24.851702091208,1,0,0.0297073326169395,1.39724850797043,1082905
R_w6HcYL6mQmbWfcJEl,5422091El,new_entry,,,"","Belarus, April 6, Schools Closure and Regulation: President of Belarus extends school holidays for 6 days from 04.06.2020 to 04.11.2020. The break existed before, but the length was changed.",2020-04-04,2020-04-06,2020-04-11,The policy has a clear end date,Belarus,BLR,BY,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Belarus,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",37.2003486726473,34.4089755634238,31.5059972399431,5,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3foSEzl1vDTyAg7,https://t.me/s/minzdravbelarus ; https://edu.gov.by/news/croki-vesennikh-kanikul-prodlyayutsya-na-6-dney/,2021-03-29,2021-03-29T09:14:53Z,700,13,53,,40000,4.176,,,,,,153,49.7,0,-0.345599442720413,-0.149916306138039,3,44,9498264,62080768455.0003,2.53218350023035,16.0666196030303,24.851702091208,1,0,0.0297073326169395,1.39724850797043,1082905
R_w6HcYL6mQmbWfcJFv,5422091Fv,new_entry,,,"","Belarus, April 6, Schools Closure and Regulation: President of Belarus extends school holidays for 6 days from 04.06.2020 to 04.11.2020. The break existed before, but the length was changed.",2020-04-04,2020-04-06,2020-04-11,The policy has a clear end date,Belarus,BLR,BY,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Belarus,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",37.2003486726473,34.4089755634238,31.5059972399431,5,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3foSEzl1vDTyAg7,https://t.me/s/minzdravbelarus ; https://edu.gov.by/news/croki-vesennikh-kanikul-prodlyayutsya-na-6-dney/,2021-03-29,2021-03-29T09:14:53Z,700,13,53,,40000,4.176,,,,,,153,49.7,0,-0.345599442720413,-0.149916306138039,3,44,9498264,62080768455.0003,2.53218350023035,16.0666196030303,24.851702091208,1,0,0.0297073326169395,1.39724850797043,1082905
R_3ffQWPAw0HWAPIHEk,2888353Ek,new_entry,,,"","Belarus, April 8, 2020, Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education.",2020-04-07,2020-04-08,,The policy’s end date is unknown or unreported,Belarus,BLR,BY,Provincial,1,Minsk City,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Belarus,,,Minsk City,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,Provincial/State Government,38.8953988978222,35.9680378896203,33.0234589707715,5,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2ZNtnHcaRE4g96r,https://minsk.gov.by/ru/news/new/2020/04/08/704/,2021-04-20,2021-04-20T10:31:47Z,1066,13,77,,46000,4.803,,,,,,153,49.7,0,-0.345599442720413,-0.149916306138039,3,44,9498264,62080768455.0003,2.53218350023035,16.0666196030303,24.851702091208,1,0,0.0297073326169395,1.39724850797043,1082905
R_3ffQWPAw0HWAPIHEl,2888353El,new_entry,,,"","Belarus, April 8, 2020, Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education.",2020-04-07,2020-04-08,,The policy’s end date is unknown or unreported,Belarus,BLR,BY,Provincial,1,Minsk City,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Belarus,,,Minsk City,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,Provincial/State Government,38.8953988978222,35.9680378896203,33.0234589707715,5,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2ZNtnHcaRE4g96r,https://minsk.gov.by/ru/news/new/2020/04/08/704/,2021-04-20,2021-04-20T10:31:47Z,1066,13,77,,46000,4.803,,,,,,153,49.7,0,-0.345599442720413,-0.149916306138039,3,44,9498264,62080768455.0003,2.53218350023035,16.0666196030303,24.851702091208,1,0,0.0297073326169395,1.39724850797043,1082905
R_3ffQWPAw0HWAPIHFv,2888353Fv,new_entry,,,"","Belarus, April 8, 2020, Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education.",2020-04-07,2020-04-08,,The policy’s end date is unknown or unreported,Belarus,BLR,BY,Provincial,1,Minsk City,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Belarus,,,Minsk City,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,Provincial/State Government,38.8953988978222,35.9680378896203,33.0234589707715,5,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2ZNtnHcaRE4g96r,https://minsk.gov.by/ru/news/new/2020/04/08/704/,2021-04-20,2021-04-20T10:31:47Z,1066,13,77,,46000,4.803,,,,,,153,49.7,0,-0.345599442720413,-0.149916306138039,3,44,9498264,62080768455.0003,2.53218350023035,16.0666196030303,24.851702091208,1,0,0.0297073326169395,1.39724850797043,1082905
R_3ffQWPAw0HWAPIHCd,2888353Cd,new_entry,,,"","Belarus, April 8, 2020, Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education.",2020-04-07,2020-04-08,,The policy’s end date is unknown or unreported,Belarus,BLR,BY,Provincial,1,Minsk City,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Belarus,,,Minsk City,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,Provincial/State Government,38.8953988978222,35.9680378896203,33.0234589707715,5,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2ZNtnHcaRE4g96r,https://minsk.gov.by/ru/news/new/2020/04/08/704/,2021-04-20,2021-04-20T10:31:47Z,1066,13,77,,46000,4.803,,,,,,153,49.7,0,-0.345599442720413,-0.149916306138039,3,44,9498264,62080768455.0003,2.53218350023035,16.0666196030303,24.851702091208,1,0,0.0297073326169395,1.39724850797043,1082905
R_3z4NwFPSVMTnnl7Ek,2888353Ek,update,End of Policy,,"","In Belarus, on April 8, 2020 Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education. UPDATE: On April 10, 2020 it was announced by the Ministry of Education that the academic year will end on May 30, 2020. As such this policy will no longer be applicable following the end of the school year. UPDATE: On April 10 it was announced by the Ministry of Education that the academic year will end on May 30. As such this policy will no longer be applicable following the end of the school year.",2020-04-10,2020-04-10,2020-05-30,The policy has a clear end date,Belarus,BLR,BY,Provincial,1,Minsk City,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Belarus,,,Minsk City,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,Provincial/State Government,40.0614407585146,37.2275221582938,34.3696443155116,5,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2ZNtnHcaRE4g96r ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1rDOXK4Nskn6uoD,NA,2021-01-29,2021-01-29T05:48:57Z,1981,19,169,,,,,,,,,153,49.7,0,-0.345599442720413,-0.149916306138039,3,44,9498264,62080768455.0003,2.53218350023035,16.0666196030303,24.851702091208,1,0,0.0297073326169395,1.39724850797043,1082905
