record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_1ozQgRxKmxixIgDNA,1447205,new_entry,,,"","On April 22, the Fijian Ministry of Health and Medical Services released a PR strongly advising all health providers in Fiji to cease offering IgM/IgG rapid tests for the diagnosis of COVID-19.  These tests are based on the detection of antibodies and/or antigens and they are not reliable for the acute diagnosis of COVID-19.",2020-04-22,2020-04-22,2020-04-23,The policy is a one-time measure (e.g. publication of guidelines),Fiji,FJI,FJ,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Fiji,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,73.5301117465681,70.2180935422489,67.0818614501435,80,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3PLizja8fPhrK4o,http://www.health.gov.fj/warning-against-alternative-covid-19-test-kits/,2021-04-30,2021-04-30T15:45:46Z,18,0,8,68,897,0.97,,,,,,52,27.4,1,-0.435670435428619,-0.472218871116638,4,4,883483,4236472821.98446,3.52620937156848,13.6916273289042,22.1669968783773,2,1,1.14141634302822,-0.680249580650064,14038
R_psLGK7hYuFsSawpNA,4680593,new_entry,,,"","On May 21, Fiji's Ministry of Health and Medical Services responds to an article written by The Fiji Times to address inaccuracies reported by the article regarding the government's response to COVID-19.",2020-06-01,2020-05-21,2020-05-21,The policy has a clear end date,Fiji,FJI,FJ,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Fiji,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,67.1918582211982,63.6111709713403,60.4188964349844,61,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2RUIWA9DBhj4WVY,http://www.health.gov.fj/ministry-of-health-and-medical-services-response-to-erroneous-article-by-the-fiji-times/ ; http://www.health.gov.fj/media-center/novel-coronavirus-covid-19/media-releases/,2020-08-03,2020-08-03T21:23:14Z,18,0,15,56,2193,2.372,,,,,,52,27.4,1,-0.435670435428619,-0.472218871116638,4,4,883483,4236472821.98446,3.52620937156848,13.6916273289042,22.1669968783773,2,1,1.14141634302822,-0.680249580650064,14038
R_0HOXgkcBwqzSjL3El,2603642El,new_entry,,,"","On March 20, the Fijian government closed schools that fall within the lockdown zone, ""from Kings Road at Nacilau Junction past Matawalu Village, Ba to feeder road at Vakabuli Junction, to the Queens Road at Natalau Junction, Nadi.""",2020-03-20,2020-03-20,,The policy’s end date is unknown or unreported,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Fiji,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",65.0114667742809,62.1019644287694,59.2490227027939,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4YHL0lfQDjDwFNv,http://www.education.gov.fj/2020/03/20/media-release-covid-19/,2021-04-30,2021-04-30T15:49:23Z,1,0,0,23,102,0.11,,,,,,52,27.4,1,-0.435670435428619,-0.472218871116638,4,4,883483,4236472821.98446,3.52620937156848,13.6916273289042,22.1669968783773,2,1,1.14141634302822,-0.680249580650064,14038
R_0HOXgkcBwqzSjL3Em,2603642Em,new_entry,,,"","On March 20, the Fijian government closed schools that fall within the lockdown zone, ""from Kings Road at Nacilau Junction past Matawalu Village, Ba to feeder road at Vakabuli Junction, to the Queens Road at Natalau Junction, Nadi.""",2020-03-20,2020-03-20,,The policy’s end date is unknown or unreported,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Fiji,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",65.0114667742809,62.1019644287694,59.2490227027939,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4YHL0lfQDjDwFNv,http://www.education.gov.fj/2020/03/20/media-release-covid-19/,2021-04-30,2021-04-30T15:49:23Z,1,0,0,23,102,0.11,,,,,,52,27.4,1,-0.435670435428619,-0.472218871116638,4,4,883483,4236472821.98446,3.52620937156848,13.6916273289042,22.1669968783773,2,1,1.14141634302822,-0.680249580650064,14038
R_0HOXgkcBwqzSjL3Fw,2603642Fw,new_entry,,,"","On March 20, the Fijian government closed schools that fall within the lockdown zone, ""from Kings Road at Nacilau Junction past Matawalu Village, Ba to feeder road at Vakabuli Junction, to the Queens Road at Natalau Junction, Nadi.""",2020-03-20,2020-03-20,,The policy’s end date is unknown or unreported,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Fiji,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",65.0114667742809,62.1019644287694,59.2490227027939,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4YHL0lfQDjDwFNv,http://www.education.gov.fj/2020/03/20/media-release-covid-19/,2021-04-30,2021-04-30T15:49:23Z,1,0,0,23,102,0.11,,,,,,52,27.4,1,-0.435670435428619,-0.472218871116638,4,4,883483,4236472821.98446,3.52620937156848,13.6916273289042,22.1669968783773,2,1,1.14141634302822,-0.680249580650064,14038
R_0HOXgkcBwqzSjL3Ce,2603642Ce,new_entry,,,"","On March 20, the Fijian government closed schools that fall within the lockdown zone, ""from Kings Road at Nacilau Junction past Matawalu Village, Ba to feeder road at Vakabuli Junction, to the Queens Road at Natalau Junction, Nadi.""",2020-03-20,2020-03-20,,The policy’s end date is unknown or unreported,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Fiji,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",65.0114667742809,62.1019644287694,59.2490227027939,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4YHL0lfQDjDwFNv,http://www.education.gov.fj/2020/03/20/media-release-covid-19/,2021-04-30,2021-04-30T15:49:23Z,1,0,0,23,102,0.11,,,,,,52,27.4,1,-0.435670435428619,-0.472218871116638,4,4,883483,4236472821.98446,3.52620937156848,13.6916273289042,22.1669968783773,2,1,1.14141634302822,-0.680249580650064,14038
R_STt8gWiwZQ4bLFvEl,3023624El,new_entry,,,"","On March 20, the Fijian government announced changes to Term 1 school holidays schedule. ""The first term school holidays were initially scheduled from 20 April 2020 to 1 May 2020."" ""The National Term 1 school holidays will now begin on Monday 23 March 2020 and last until 3 April 2020.""",2020-03-20,2020-03-23,2020-04-03,The policy has a clear end date,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Fiji,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",70.3225956264428,67.4333375405229,63.9472638468217,111,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1lfB63nXhd3KRFO,http://www.education.gov.fj/2020/03/20/term-1-school-holidays-moved-forward-to-23-march-2020/,2020-08-10,2020-08-10T22:23:21Z,3,0,0,,146,0.158,,,,,,52,27.4,1,-0.435670435428619,-0.472218871116638,4,4,883483,4236472821.98446,3.52620937156848,13.6916273289042,22.1669968783773,2,1,1.14141634302822,-0.680249580650064,14038
R_STt8gWiwZQ4bLFvEm,3023624Em,new_entry,,,"","On March 20, the Fijian government announced changes to Term 1 school holidays schedule. ""The first term school holidays were initially scheduled from 20 April 2020 to 1 May 2020."" ""The National Term 1 school holidays will now begin on Monday 23 March 2020 and last until 3 April 2020.""",2020-03-20,2020-03-23,2020-04-03,The policy has a clear end date,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Fiji,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",70.3225956264428,67.4333375405229,63.9472638468217,111,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1lfB63nXhd3KRFO,http://www.education.gov.fj/2020/03/20/term-1-school-holidays-moved-forward-to-23-march-2020/,2020-08-10,2020-08-10T22:23:21Z,3,0,0,,146,0.158,,,,,,52,27.4,1,-0.435670435428619,-0.472218871116638,4,4,883483,4236472821.98446,3.52620937156848,13.6916273289042,22.1669968783773,2,1,1.14141634302822,-0.680249580650064,14038
R_STt8gWiwZQ4bLFvFw,3023624Fw,new_entry,,,"","On March 20, the Fijian government announced changes to Term 1 school holidays schedule. ""The first term school holidays were initially scheduled from 20 April 2020 to 1 May 2020."" ""The National Term 1 school holidays will now begin on Monday 23 March 2020 and last until 3 April 2020.""",2020-03-20,2020-03-23,2020-04-03,The policy has a clear end date,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Fiji,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",70.3225956264428,67.4333375405229,63.9472638468217,111,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1lfB63nXhd3KRFO,http://www.education.gov.fj/2020/03/20/term-1-school-holidays-moved-forward-to-23-march-2020/,2020-08-10,2020-08-10T22:23:21Z,3,0,0,,146,0.158,,,,,,52,27.4,1,-0.435670435428619,-0.472218871116638,4,4,883483,4236472821.98446,3.52620937156848,13.6916273289042,22.1669968783773,2,1,1.14141634302822,-0.680249580650064,14038
R_STt8gWiwZQ4bLFvCe,3023624Ce,new_entry,,,"","On March 20, the Fijian government announced changes to Term 1 school holidays schedule. ""The first term school holidays were initially scheduled from 20 April 2020 to 1 May 2020."" ""The National Term 1 school holidays will now begin on Monday 23 March 2020 and last until 3 April 2020.""",2020-03-20,2020-03-23,2020-04-03,The policy has a clear end date,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Fiji,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",70.3225956264428,67.4333375405229,63.9472638468217,111,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1lfB63nXhd3KRFO,http://www.education.gov.fj/2020/03/20/term-1-school-holidays-moved-forward-to-23-march-2020/,2020-08-10,2020-08-10T22:23:21Z,3,0,0,,146,0.158,,,,,,52,27.4,1,-0.435670435428619,-0.472218871116638,4,4,883483,4236472821.98446,3.52620937156848,13.6916273289042,22.1669968783773,2,1,1.14141634302822,-0.680249580650064,14038
